1,-3.187800,55.944400,340,-3.187518,55.944297,null
2,-3.187518,55.944297,340,-3.187236,55.944195,null
3,-3.187236,55.944195,340,-3.186954,55.944092,null
4,-3.186954,55.944092,160,-3.187236,55.944195,null
5,-3.187236,55.944195,340,-3.186954,55.944092,null
6,-3.186954,55.944092,160,-3.187236,55.944195,null
7,-3.187236,55.944195,340,-3.186954,55.944092,null
8,-3.186954,55.944092,160,-3.187236,55.944195,null
9,-3.187236,55.944195,340,-3.186954,55.944092,null
10,-3.186954,55.944092,320,-3.186724,55.943899,null
11,-3.186724,55.943899,330,-3.186465,55.943749,null
12,-3.186465,55.943749,330,-3.186205,55.943599,null
13,-3.186205,55.943599,330,-3.185945,55.943449,null
14,-3.185945,55.943449,330,-3.185685,55.943299,null
15,-3.185685,55.943299,330,-3.185425,55.943149,null
16,-3.185425,55.943149,340,-3.185144,55.943047,null
17,-3.185144,55.943047,340,-3.184862,55.942944,courier.assume.bill
18,-3.184862,55.942944,170,-3.185157,55.942996,null
19,-3.185157,55.942996,170,-3.185452,55.943048,toned.deflection.bland
20,-3.185452,55.943048,130,-3.185645,55.943278,null
21,-3.185645,55.943278,120,-3.185795,55.943538,record.sofa.sock
22,-3.185795,55.943538,220,-3.186025,55.943345,null
23,-3.186025,55.943345,220,-3.186255,55.943152,null
24,-3.186255,55.943152,220,-3.186485,55.942959,null
25,-3.186485,55.942959,210,-3.186745,55.942809,null
26,-3.186745,55.942809,210,-3.187004,55.942659,strut.river.surely
27,-3.187004,55.942659,150,-3.187264,55.942809,null
28,-3.187264,55.942809,140,-3.187494,55.943002,null
29,-3.187494,55.943002,150,-3.187754,55.943152,gums.clock.modes
30,-3.187754,55.943152,190,-3.188049,55.943100,null
31,-3.188049,55.943100,180,-3.188349,55.943100,null
32,-3.188349,55.943100,190,-3.188645,55.943048,null
33,-3.188645,55.943048,180,-3.188945,55.943048,null
34,-3.188945,55.943048,190,-3.189240,55.942996,region.passes.pencil
35,-3.189240,55.942996,170,-3.189536,55.943048,null
36,-3.189536,55.943048,170,-3.189831,55.943100,null
37,-3.189831,55.943100,160,-3.190113,55.943203,shows.fries.lamp
38,-3.190113,55.943203,70,-3.190010,55.943485,null
39,-3.190010,55.943485,70,-3.189908,55.943767,null
40,-3.189908,55.943767,70,-3.189805,55.944049,cliff.asleep.wedge
41,-3.189805,55.944049,200,-3.190087,55.943946,null
42,-3.190087,55.943946,200,-3.190369,55.943843,null
43,-3.190369,55.943843,200,-3.190651,55.943741,null
44,-3.190651,55.943741,190,-3.190946,55.943689,loaf.cheer.slave
45,-3.190946,55.943689,90,-3.190946,55.943989,null
46,-3.190946,55.943989,90,-3.190946,55.944289,null
47,-3.190946,55.944289,100,-3.190998,55.944584,null
48,-3.190998,55.944584,90,-3.190998,55.944884,shapes.sheep.nature
49,-3.190998,55.944884,170,-3.191294,55.944936,null
50,-3.191294,55.944936,170,-3.191589,55.944988,null
51,-3.191589,55.944988,170,-3.191885,55.945040,null
52,-3.191885,55.945040,170,-3.192180,55.945092,useful.hike.trades
53,-3.192180,55.945092,30,-3.191920,55.945242,null
54,-3.191920,55.945242,30,-3.191661,55.945392,null
55,-3.191661,55.945392,30,-3.191401,55.945542,skins.engage.best
56,-3.191401,55.945542,20,-3.191119,55.945645,null
57,-3.191119,55.945645,20,-3.190837,55.945748,null
58,-3.190837,55.945748,20,-3.190555,55.945850,null
59,-3.190555,55.945850,20,-3.190273,55.945953,null
60,-3.190273,55.945953,10,-3.189978,55.946005,love.behind.orchestra
61,-3.189978,55.946005,280,-3.189926,55.945709,null
62,-3.189926,55.945709,290,-3.189823,55.945428,turkey.limit.ramp
63,-3.189823,55.945428,20,-3.189541,55.945530,null
64,-3.189541,55.945530,30,-3.189281,55.945680,museum.spicy.horns
65,-3.189281,55.945680,280,-3.189229,55.945385,null
66,-3.189229,55.945385,280,-3.189177,55.945089,number.exist.rate
67,-3.189177,55.945089,40,-3.188947,55.945282,null
68,-3.188947,55.945282,50,-3.188754,55.945512,shady.soft.phones
69,-3.188754,55.945512,40,-3.188525,55.945705,bend.tubes.chops
70,-3.188525,55.945705,300,-3.188375,55.945445,null
71,-3.188375,55.945445,300,-3.188225,55.945185,null
72,-3.188225,55.945185,310,-3.188032,55.944955,null
73,-3.188032,55.944955,300,-3.187882,55.944696,hurt.green.filer
74,-3.187882,55.944696,290,-3.187779,55.944414,null
75,-3.187779,55.944414,300,-3.187629,55.944154,bound.ends.matter
76,-3.187629,55.944154,290,-3.187527,55.943872,begins.spider.drips
